Season,Episode overall,Episode,Title,Director,Writer,Air Date,U.S. viewers (millions)
1,1,1,Pilot,Ken Kwapis,Ricky Gervais & Stephen Merchant and Greg Daniels,24-Mar-05,11.2
1,2,2,Diversity Day,Ken Kwapis,B. J. Novak,29-Mar-05,6
1,3,3,Health Care,Ken Whittingham,Paul Lieberstein,5-Apr-05,5.8
1,4,4,The Alliance,Bryan Gordon,Michael Schur,12-Apr-05,5.4
1,5,5,Basketball,Greg Daniels,Greg Daniels,19-Apr-05,5
1,6,6,Hot Girl,Amy Heckerling,Mindy Kaling,26-Apr-05,4.8
2,7,1,The Dundies,Greg Daniels,Mindy Kaling,20-Sep-05,9
2,8,2,Sexual Harassment,Ken Kwapis,B. J. Novak,27-Sep-05,7.13
2,9,3,Office Olympics,Paul Feig,Michael Schur,4-Oct-05,8.3
2,10,4,The Fire,Ken Kwapis,B. J. Novak,11-Oct-05,7.6
2,11,5,Halloween,Paul Feig,Greg Daniels,18-Oct-05,8
2,12,6,The Fight,Ken Kwapis,Gene Stupnitsky & Lee Eisenberg,1-Nov-05,7.9
2,13,7,The Client,Greg Daniels,Paul Lieberstein,8-Nov-05,7.5
2,14,8,Performance Review,Paul Feig,Larry Wilmore,15-Nov-05,8
2,15,9,Email Surveillance,Paul Feig,Jennifer Celotta,22-Nov-05,8.1
2,16,10,Christmas Party,Charles McDougall,Michael Schur,6-Dec-05,9.7
2,17,11,Booze Cruise,Ken Kwapis,Greg Daniels,5-Jan-06,8.7
2,18,12,The Injury,Bryan Gordon,Mindy Kaling,12-Jan-06,10.3
2,19,13,The Secret,Dennie Gordon,Lee Eisenberg & Gene Stupnitsky,19-Jan-06,8.7
2,20,14,The Carpet,"Victor Nelli, Jr.",Paul Lieberstein,26-Jan-06,8.6
2,21,15,Boys and Girls,Dennie Gordon,B. J. Novak,2-Feb-06,5.42
2,22,16,Valentine's Day,Greg Daniels,Michael Schur,9-Feb-06,8.95
2,23,17,Dwight's Speech,Charles McDougall,Paul Lieberstein,2-Mar-06,8.4
